company,location,position,time
Esurance,"San Francisco, CA",Data Scientist,6
Palo Alto Networks,"Santa Clara, CA",Machine Learning Software Engineer (Threat Intelligence),
San Diego State University,"San Diego, CA",Social Sciences and Data Librarian - Senior,4
Walmart eCommerce,"San Bruno, CA","Associate Director, Marketing Business Operations",7
NVIDIA,"Santa Clara, CA",Data Science Project and Product Manager,20
FirstRain,"San Mateo, CA",Senior Data Science Engineer,23
Syneos Health Commercial Solutions,"Bakersfield, CA","Bakersfield, CA - Pharmaceutical Sales Representative",14
Make School,"San Francisco, CA",Data Science Instructor and Curriculum Engineer,26
Syneos Health Commercial Solutions,"San Francisco, CA",West Field Talent Manager,
Accenture,"San Francisco, CA","Data Science Manager - Communications, Media and Technology",7
HotelTonight,"San Francisco, CA",Senior Data Analyst,28
Wealthfront,"Redwood City, CA",Senior Marketing Analytics Manager,
Airbnb,"San Francisco, CA",Data Science Manager - Trips Platform,20
Counsyl,"South San Francisco, CA","Computational Biologist, Data Science Research",8
Syneos Health Commercial Solutions,"Chico, CA","Chico, CA - Pharmaceutical Sales Representative",13
Avani Technology Solutions,"San Francisco, CA",Data Scientist,
Vdart,"San Jose, CA",Data Scientist,5
Looker,"San Francisco, CA","Data Analyst Consultant, Professional Services - SF",16
Syneos Health Commercial Solutions,"Orange, CA","Orange County, CA- Derm Flex Pharmaceutical Sales Representative",6
AgilOne,"San Francisco, CA",Data Scientist Intern,
UC Santa Cruz,"Santa Cruz, CA",Computer Science: Assistant Professor: Data Science (Open Until Filled; Initial Review 12/15/17),4
Amobee,"Redwood City, CA","Senior Manager, Applied Science",6
Walmart eCommerce,"San Bruno, CA","Senior Manager, Growth Marketing",7
Castlight Health,"San Francisco, CA",Data Analyst,
Ridecell,"San Francisco, CA",Director of Data Science,21
"Staples, Inc.","San Jose, CA",Principal Software Engineer - Data Science,5
Aviana Global Technologies,"Brea, CA",Data Scientist,26
Lattice Engines,"San Mateo, CA",Senior Data Science Engineer,26
Slingshot Aerospace,"El Segundo, CA",Geospatial Data and Information Science Intern,
Diverse Lynx,"San Jose, CA",Data Scientist,
IBM,"San Francisco, CA",Data Science & Machine Learning Offering Manager Intern (graduate),5
General Assembly,"San Francisco, CA",Data Science Instructor,22
Houlihan Lokey,"Los Angeles, CA","Programmer Analyst, Data Science - Information Technology",5
Sonder,"San Francisco, CA",Machine Learning Engineer,
FT Optimize LLC,"Half Moon Bay, CA",Data Science Engineer,23
Airbnb,"San Francisco, CA","Data Science Manager - Analytics, Lux",24
NextDeavor Services,"Foster City, CA",Data Science Technical Consultant - GILDJP,5
Paysafe,"Irvine, CA",Data Scientist,4
ID Analytics,"San Diego, CA",Data Scientist,
Saama Technologies Inc,"Campbell, CA",Data Scientist,7
Apple,"Santa Clara, CA",Data Science Manager - Search Ads,14
Minted,"San Francisco, CA",Data Scientist,
Twitch,"San Francisco, CA",Director of Data Science,27
Hunter Technical Resources,"Irvine, CA",Data Scientist,13
Hortonworks,"Santa Clara, CA",Product Management Director - Data Science,14
Saama Technologies Inc,"Campbell, CA","Data Architect, Life Science Commercial",6
ZestFinance,"Los Angeles, CA","Director, Data Science",
NBCUniversal,"Universal City, CA","Director, Data Science",27
Westfield,"San Francisco, CA","Senior Director, Data Science",27
Enterprise Solution inc,"San Diego, CA",Data Science / Warehouse / Analytics Project Manager,5
Thermo Fisher Scientific,"Carlsbad, CA","Senior Data Scientist, Antibodies and Immunoassay Systems",
Coupang,"Mountain View, CA",Director of Data Science,16
